Penn World Tables 6.1

"COL0","YEAR"
"COL1","Belgium/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Belgium/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Belgium/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Belgium/CURRENT SAVINGS (unit %)"
"COL5","Belgium/EXCHANGE RATE (unit US=1)"
"COL6","Belgium/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Belgium/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Belgium/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Belgium/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Belgium/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Belgium/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Belgium/POPULATION (unit 000S)"
"COL13","Belgium/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Belgium/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Belgium/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Belgium/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Belgium/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"

"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17"
1959,60.2472770760,58.6294778060,58.9867025180,27.6093633860,49.9900120500,13.7611588080,18.0856838370,28.3121695920,23.4134799980,55.6678608570,74.6068059340,9077.0595121000,72.1919669670,80.6096681850,67.5604450870,51.6267972210,
1960,63.1246782470,58.2229353810,58.9396762550,27.9196786670,50.0000000000,13.8573859510,18.0485393960,28.7562460020,24.1486117860,58.8570302550,79.7011729520,9106.9838867000,70.7672611140,80.1628088480,66.7179389230,52.0402867760,101.6544351100
1961,65.8791917640,56.2898436500,57.0538760780,30.0111456750,50.0000000000,13.6990106750,17.4310633410,30.9599832060,26.1795646140,60.3670117870,82.1218350970,9153.9219548000,71.5026595520,77.5739538860,66.7726995340,53.3936480740,101.5622274500
1962,65.8047756680,55.8118117990,56.3136368130,29.7832463770,50.0000000000,14.4049418240,17.9607189800,29.8556728200,25.8322301420,62.4923596680,84.1311946690,9205.8534343000,71.2210385310,76.4787664270,67.3824822860,55.8179054410,101.4848069500
1963,65.4016292540,56.3348869140,56.1788598950,27.9026331530,50.0000000000,15.7624799330,19.1395097300,29.0078372850,24.7922300900,64.8456765680,87.7084506130,9270.7677838000,73.3278422050,76.2882627150,69.5088316310,58.4082393320,101.3320409200
1964,67.4060264760,53.1507678240,53.7531197380,31.6220237910,50.0000000000,15.2272083850,18.5469089570,32.0606055620,27.8119632890,65.6619768850,87.8717962060,9354.6570969000,75.3912128760,77.1852796760,71.0639117640,60.9826698220,101.2549109700
1965,65.7823272880,53.0641012410,54.0027699010,31.0686217700,50.0000000000,15.8672769880,18.8974085990,31.2215904800,27.2146868280,67.3466472590,86.6317951210,9435.5503631000,78.0463311480,77.8488294420,73.1793355990,62.5343014530,101.0736150900
1966,64.5645150750,52.4627858700,53.6018797570,31.2392304880,50.0000000000,16.2979836420,19.1189719840,32.0493177070,28.2279731730,70.9217865330,90.2706270170,9495.4713011000,78.9635843940,78.2678239620,73.8487620470,63.2288907750,101.0968780100
1967,65.9542807570,51.9442225390,53.2262221760,31.2067567810,50.0000000000,16.8490206810,19.4870520940,30.9044583720,27.4065114670,70.2315293520,87.0556972910,9544.4067338000,78.7824878130,78.0897713500,74.1520474310,64.2223662930,101.1239115600
1968,65.4337241730,52.8291585740,53.9723376110,30.0677970710,50.0000000000,17.1030443550,19.3832410660,29.6753081530,26.5181512710,76.0008519190,91.6936587470,9577.3632496000,77.8891323310,76.9774093320,73.5292078250,63.7801637750,101.1553953800
1969,68.7173283820,51.5220690250,53.3025582750,31.4254888660,50.0000000000,17.0524421090,19.2794379310,30.3463721530,27.3178106160,81.6587630630,98.6913565830,9600.3329425000,76.5563717110,76.2316983860,72.4721469460,63.4253573600,101.1146151000
1970,73.9392124910,50.3815049340,52.6321702420,32.7376590070,50.0000000000,16.8808360590,18.7155914080,30.3257271480,27.6667487370,83.2000091300,100.9039792500,9625.3000000000,74.7420733880,74.8701883300,72.0675939290,66.0642939660,101.3048404100
1971,73.5690305050,51.3680626680,53.3541809670,30.8521464720,48.8697000000,17.7797908600,19.0831657420,28.7073514730,26.2258979650,83.6665377650,98.4390613140,9660.3000000000,77.3523086640,78.0093918530,75.4058844970,70.3105396680,101.1724683900
1972,73.7217580080,51.4910971060,53.7970534900,30.3185970920,44.0146000000,18.1903058030,19.2360295240,26.8974591570,24.9708350700,87.8696914390,98.0126079710,9696.2000000000,87.6257205620,89.1774034960,85.6889999820,79.6222933380,101.2027776000
1973,74.4038040010,52.0253344500,54.7686162860,29.8498042740,38.9765000000,18.1248612760,19.0744142480,27.7506393460,25.8165617240,96.2014031190,108.2850743400,9725.2000000000,100.0078486500,102.6023101300,98.0694235400,91.4747951050,101.0350202400
